phase,clients,median_ms,p5_ms,p90_ms
Trusted: trusted_verify,1,4.080000,3.281600,4.736600
Trusted: trusted_verify,2,4.806000,3.850650,6.394900
Trusted: trusted_verify,3,6.297000,4.174000,8.149000
Trusted: trusted_verify,4,6.029000,3.922800,9.106600
Trusted: trusted_verify,5,4.554000,3.487800,7.492400
Trusted: trusted_verify,6,5.214500,3.566500,8.575100
Trusted: trusted_verify,7,4.929000,3.464500,8.995200
Trusted: trusted_verify,8,5.045000,3.559600,10.435400
Trusted: trusted_verify,9,5.556000,3.600700,10.324000
Trusted: trusted_verify,10,5.587000,3.589000,14.397500
Trusted: trusted_verify,11,5.086000,3.593800,12.099400
Trusted: trusted_verify,12,5.061500,3.666850,14.822700
Trusted: trusted_verify,13,4.986500,3.440200,12.418300
Trusted: trusted_verify,14,6.115000,3.875600,17.245400
Trusted: trusted_verify,15,4.752000,3.446400,17.997200
Trusted: trusted_verify,16,5.475500,3.446750,21.398000
Trusted: trusted_verify,17,5.287000,3.360250,27.594000
Trusted: trusted_verify,18,6.001500,3.400850,20.755300
Trusted: trusted_verify,19,5.198000,3.577500,13.318000
Trusted: trusted_verify,20,6.462000,3.879300,25.965400
Untrusted: checkin_service,1,2.642000,2.225900,3.112200
Untrusted: checkin_service,2,2.520000,1.419350,3.410300
Untrusted: checkin_service,3,2.396500,1.454800,3.509000
Untrusted: checkin_service,4,2.549500,1.508500,3.604100
Untrusted: checkin_service,5,2.580000,1.565100,3.758000
Untrusted: checkin_service,6,2.562500,1.469950,3.631200
Untrusted: checkin_service,7,2.475000,1.516050,3.599300
Untrusted: checkin_service,8,2.543500,1.553250,4.091300
Untrusted: checkin_service,9,2.560000,1.525950,5.019900
Untrusted: checkin_service,10,2.561000,1.634950,4.888200
Untrusted: checkin_service,11,2.596500,1.514500,4.271800
Untrusted: checkin_service,12,2.547500,1.466350,5.158400
Untrusted: checkin_service,13,2.406500,1.452950,5.510500
Untrusted: checkin_service,14,2.648000,1.396850,5.815100
Untrusted: checkin_service,15,2.512000,1.500150,5.778200
Untrusted: checkin_service,16,2.611500,1.397450,7.128800
Untrusted: checkin_service,17,2.617500,1.474400,8.090800
Untrusted: checkin_service,18,2.499000,1.269750,8.456100
Untrusted: checkin_service,19,2.483000,1.320750,5.580600
Untrusted: checkin_service,20,2.542000,1.343600,8.861000
Untrusted: id_service,1,2.223500,1.780300,3.184200
Untrusted: id_service,2,1.990000,1.285950,2.935400
Untrusted: id_service,3,1.904500,1.291900,2.508500
Untrusted: id_service,4,1.940000,1.265750,2.764300
Untrusted: id_service,5,2.212000,1.413900,3.102900
Untrusted: id_service,6,2.099000,1.304800,3.153300
Untrusted: id_service,7,2.100500,1.322800,3.091200
Untrusted: id_service,8,2.031500,1.312500,2.872200
Untrusted: id_service,9,2.078500,1.267250,3.070800
Untrusted: id_service,10,2.099000,1.302500,3.118300
Untrusted: id_service,11,2.236500,1.354150,3.506500
Untrusted: id_service,12,2.112500,1.211800,3.659900
Untrusted: id_service,13,2.049000,1.246600,5.331500
Untrusted: id_service,14,2.223500,1.325200,9.694300
Untrusted: id_service,15,2.244500,1.224950,5.646500
Untrusted: id_service,16,2.089000,1.199000,5.093100
Untrusted: id_service,17,2.235500,1.419200,4.424800
Untrusted: id_service,18,2.138500,1.189050,7.191200
Untrusted: id_service,19,2.311000,1.193000,6.767800
Untrusted: id_service,20,2.131500,1.203750,4.868100
